Mechanical Angle,Electrical Angle,Target Velocity,Velocity,Target Iq,Iq,Target Id,Id
3.680000,0.660000,5.770000,0.137000,0.004000,0.000000,0.000000,0.000000
3.680000,0.680000,5.770000,0.138000,0.014000,0.000000,0.000000,0.000000
3.680000,0.710000,5.770000,0.145000,0.006000,0.000000,0.000000,0.000000
3.680000,0.750000,5.770000,0.149000,0.002000,0.000000,0.000000,0.000000
3.730000,0.810000,5.790000,0.149000,0.002000,0.000000,0.000000,0.000000
3.750000,0.940000,5.800000,0.149000,0.002000,0.000000,0.000000,0.000000
3.760000,1.060000,5.810000,0.149000,0.002000,0.000000,0.000000,0.000000
3.760000,1.550000,5.850000,0.149000,0.002000,0.000000,0.000000,0.000000
3.760000,1.550000,5.850000,0.143000,0.017000,0.000000,0.000000,0.000000
3.760000,1.590000,5.850000,0.146000,0.008000,0.000000,0.000000,0.000000
3.760000,1.640000,5.850000,0.147000,0.001000,0.000000,0.000000,0.000000
3.800000,1.680000,5.860000,0.147000,0.001000,0.000000,0.000000,0.000000
3.920000,1.840000,5.880000,0.147000,0.001000,0.000000,0.000000,0.000000
4.010000,2.020000,5.900000,0.147000,0.001000,0.000000,0.000000,0.000000
3.980000,2.480000,5.940000,0.147000,0.001000,0.000000,0.000000,0.000000
3.980000,2.480000,5.940000,0.143000,0.018000,0.000000,0.000000,0.000000
3.980000,2.520000,5.940000,0.142000,0.009000,0.000000,0.000000,0.000000
3.980000,2.530000,5.940000,0.142000,0.003000,0.000000,0.000000,0.000000
3.920000,2.560000,5.940000,0.142000,0.003000,0.000000,0.000000,0.000000
3.920000,2.610000,5.940000,0.142000,0.003000,0.000000,0.000000,0.000000
3.870000,2.710000,5.960000,0.142000,0.003000,0.000000,0.000000,0.000000
3.780000,3.010000,5.990000,0.142000,0.003000,0.000000,0.000000,0.000000
3.780000,3.020000,5.990000,0.144000,0.010000,0.000000,0.000000,0.000000
3.780000,3.030000,5.990000,0.151000,0.005000,0.000000,0.000000,0.000000
3.780000,3.040000,5.990000,0.153000,0.003000,0.000000,0.000000,0.000000
3.710000,3.070000,5.990000,0.153000,0.003000,0.000000,0.000000,0.000000
3.710000,3.090000,5.990000,0.156000,-0.001000,0.000000,0.000000,0.000000
3.590000,3.140000,6.000000,0.156000,-0.001000,0.000000,0.000000,0.000000
3.530000,3.210000,6.000000,0.156000,-0.001000,0.000000,0.000000,0.000000
3.450000,3.420000,6.020000,0.156000,-0.001000,0.000000,0.000000,0.000000
3.450000,3.420000,6.020000,0.153000,0.007000,0.000000,0.000000,0.000000
3.450000,3.440000,6.020000,0.161000,0.004000,0.000000,0.000000,0.000000
3.450000,3.470000,6.020000,0.159000,0.002000,0.000000,0.000000,0.000000
3.440000,3.560000,6.040000,0.159000,0.002000,0.000000,0.000000,0.000000
3.470000,3.680000,6.050000,0.159000,0.002000,0.000000,0.000000,0.000000
3.520000,3.820000,6.060000,0.159000,0.002000,0.000000,0.000000,0.000000
3.540000,4.280000,6.100000,0.159000,0.002000,0.000000,0.000000,0.000000
3.540000,4.280000,6.100000,0.156000,0.021000,0.000000,0.000000,0.000000
3.540000,4.310000,6.100000,0.156000,0.006000,0.000000,0.000000,0.000000
3.540000,4.330000,6.100000,0.158000,0.003000,0.000000,0.000000,0.000000
3.550000,4.410000,6.110000,0.158000,0.003000,0.000000,0.000000,0.000000
3.600000,4.550000,6.130000,0.158000,0.003000,0.000000,0.000000,0.000000
3.690000,4.710000,6.140000,0.158000,0.003000,0.000000,0.000000,0.000000
3.690000,5.180000,6.180000,0.158000,0.003000,0.000000,0.000000,0.000000
3.690000,5.180000,6.180000,0.154000,0.019000,0.000000,0.000000,0.000000
3.690000,5.220000,6.180000,0.154000,0.007000,0.000000,0.000000,0.000000
3.690000,5.240000,6.180000,0.153000,0.005000,0.000000,0.000000,0.000000
3.610000,5.250000,6.190000,0.153000,0.005000,0.000000,0.000000,0.000000
3.630000,5.360000,6.200000,0.153000,0.005000,0.000000,0.000000,0.000000
3.650000,5.490000,6.210000,0.153000,0.005000,0.000000,0.000000,0.000000
3.600000,5.840000,6.240000,0.153000,0.005000,0.000000,0.000000,0.000000
3.600000,5.860000,6.240000,0.154000,0.015000,0.000000,0.000000,0.000000
3.600000,5.860000,6.240000,0.161000,0.004000,0.000000,0.000000,0.000000
3.600000,5.880000,6.240000,0.163000,-0.001000,0.000000,0.000000,0.000000
3.490000,5.880000,6.250000,0.163000,-0.001000,0.000000,0.000000,0.000000
3.420000,5.930000,6.250000,0.163000,-0.001000,0.000000,0.000000,0.000000
3.320000,5.970000,6.250000,0.163000,-0.001000,0.000000,0.000000,0.000000
3.200000,6.110000,6.270000,0.163000,-0.001000,0.000000,0.000000,0.000000
3.200000,6.110000,6.270000,0.164000,0.003000,0.000000,0.000000,0.000000
3.200000,6.100000,6.270000,0.175000,0.000000,0.000000,0.000000,0.000000
3.110000,6.140000,6.270000,0.175000,0.000000,0.000000,0.000000,0.000000
3.110000,6.160000,6.270000,0.177000,-0.001000,0.000000,0.000000,0.000000
3.130000,6.250000,6.280000,0.177000,-0.001000,0.000000,0.000000,0.000000
3.170000,0.090000,0.010000,0.177000,-0.001000,0.000000,0.000000,0.000000
3.190000,0.570000,0.050000,0.177000,-0.001000,0.000000,0.000000,0.000000
3.190000,0.580000,0.050000,0.176000,0.016000,0.000000,0.000000,0.000000
3.190000,0.590000,0.050000,0.177000,0.006000,0.000000,0.000000,0.000000
3.190000,0.620000,0.050000,0.175000,0.003000,0.000000,0.000000,0.000000
3.160000,0.650000,0.060000,0.175000,0.003000,0.000000,0.000000,0.000000
3.160000,0.700000,0.060000,0.175000,0.003000,0.000000,0.000000,0.000000
3.170000,0.820000,0.070000,0.175000,0.003000,0.000000,0.000000,0.000000
3.230000,1.420000,0.130000,0.175000,0.003000,0.000000,0.000000,0.000000
3.230000,1.420000,0.130000,0.172000,0.018000,0.000000,0.000000,0.000000
3.230000,1.460000,0.130000,0.173000,0.005000,0.000000,0.000000,0.000000
3.230000,1.480000,0.130000,0.174000,0.003000,0.000000,0.000000,0.000000
3.220000,1.510000,0.140000,0.174000,0.003000,0.000000,0.000000,0.000000
3.220000,1.580000,0.140000,0.173000,0.005000,0.000000,0.000000,0.000000
3.280000,1.710000,0.160000,0.173000,0.005000,0.000000,0.000000,0.000000
3.360000,1.860000,0.170000,0.173000,0.005000,0.000000,0.000000,0.000000
3.370000,2.270000,0.210000,0.173000,0.005000,0.000000,0.000000,0.000000
3.370000,2.280000,0.210000,0.170000,0.020000,0.000000,0.000000,0.000000
3.370000,2.310000,0.210000,0.172000,0.006000,0.000000,0.000000,0.000000
3.370000,2.330000,0.210000,0.171000,0.003000,0.000000,0.000000,0.000000
3.330000,2.370000,0.220000,0.171000,0.003000,0.000000,0.000000,0.000000
3.260000,2.430000,0.220000,0.171000,0.003000,0.000000,0.000000,0.000000
3.160000,2.470000,0.220000,0.171000,0.003000,0.000000,0.000000,0.000000
3.080000,2.650000,0.240000,0.171000,0.003000,0.000000,0.000000,0.000000
3.080000,2.650000,0.240000,0.170000,0.010000,0.000000,0.000000,0.000000
3.080000,2.660000,0.240000,0.180000,0.002000,0.000000,0.000000,0.000000
3.080000,2.680000,0.240000,0.183000,0.001000,0.000000,0.000000,0.000000
3.040000,2.730000,0.250000,0.183000,0.001000,0.000000,0.000000,0.000000
3.010000,2.800000,0.250000,0.183000,0.001000,0.000000,0.000000,0.000000
2.980000,2.870000,0.260000,0.183000,0.001000,0.000000,0.000000,0.000000
2.940000,3.150000,0.290000,0.183000,0.001000,0.000000,0.000000,0.000000
2.940000,3.140000,0.290000,0.180000,0.011000,0.000000,0.000000,0.000000
2.940000,3.160000,0.290000,0.187000,0.007000,0.000000,0.000000,0.000000
2.940000,3.190000,0.290000,0.189000,0.004000,0.000000,0.000000,0.000000
2.890000,3.200000,0.290000,0.189000,0.004000,0.000000,0.000000,0.000000
2.900000,3.290000,0.300000,0.189000,0.004000,0.000000,0.000000,0.000000
2.860000,3.350000,0.300000,0.189000,0.004000,0.000000,0.000000,0.000000
2.840000,3.680000,0.330000,0.189000,0.004000,0.000000,0.000000,0.000000
2.840000,3.690000,0.330000,0.187000,0.013000,0.000000,0.000000,0.000000
2.840000,3.710000,0.330000,0.188000,0.004000,0.000000,0.000000,0.000000
2.840000,3.730000,0.330000,0.191000,0.001000,0.000000,0.000000,0.000000
2.860000,3.770000,0.340000,0.191000,0.001000,0.000000,0.000000,0.000000
2.860000,3.860000,0.340000,0.189000,0.003000,0.000000,0.000000,0.000000
2.940000,4.000000,0.360000,0.189000,0.003000,0.000000,0.000000,0.000000
2.990000,4.560000,0.410000,0.189000,0.003000,0.000000,0.000000,0.000000
2.990000,4.580000,0.410000,0.186000,0.017000,0.000000,0.000000,0.000000
2.990000,4.610000,0.410000,0.184000,0.006000,0.000000,0.000000,0.000000
2.990000,4.640000,0.410000,0.184000,0.002000,0.000000,0.000000,0.000000
3.020000,4.670000,0.420000,0.184000,0.002000,0.000000,0.000000,0.000000
3.020000,4.720000,0.420000,0.183000,0.001000,0.000000,0.000000,0.000000
3.080000,4.860000,0.440000,0.183000,0.001000,0.000000,0.000000,0.000000
3.170000,5.000000,0.450000,0.183000,0.001000,0.000000,0.000000,0.000000
3.160000,5.350000,0.490000,0.183000,0.001000,0.000000,0.000000,0.000000
3.160000,5.380000,0.490000,0.182000,0.015000,0.000000,0.000000,0.000000
3.160000,5.410000,0.490000,0.182000,0.006000,0.000000,0.000000,0.000000
3.160000,5.420000,0.490000,0.181000,0.001000,0.000000,0.000000,0.000000
3.120000,5.440000,0.490000,0.181000,0.001000,0.000000,0.000000,0.000000
3.030000,5.480000,0.500000,0.181000,0.001000,0.000000,0.000000,0.000000
3.010000,5.560000,0.510000,0.181000,0.001000,0.000000,0.000000,0.000000
2.970000,5.820000,0.530000,0.181000,0.001000,0.000000,0.000000,0.000000
2.970000,5.820000,0.530000,0.180000,0.010000,0.000000,0.000000,0.000000
2.970000,5.840000,0.530000,0.185000,0.003000,0.000000,0.000000,0.000000
2.970000,5.850000,0.530000,0.189000,-0.001000,0.000000,0.000000,0.000000
2.980000,5.920000,0.540000,0.189000,-0.001000,0.000000,0.000000,0.000000
2.950000,6.000000,0.550000,0.189000,-0.001000,0.000000,0.000000,0.000000
2.900000,6.060000,0.550000,0.189000,-0.001000,0.000000,0.000000,0.000000
2.860000,0.030000,0.570000,0.189000,-0.001000,0.000000,0.000000,0.000000
